id,program_id,we_weekno,we_weekno_text,we_weektitle,we_no_ofstep,we_manual,we_start_message,we_end_message,we_certification_vdo,status,we_type
223,46,4,Certification,Certification,1,,,,0,1,paid
224,47,0,Get Started,Get Started,1,,,,0,1,paid
225,47,1,Week One,Week One,2,,,,0,1,paid
226,47,2,Week Two,Week Two,1,,,,0,1,paid
227,47,3,Week Three ,Week Three ,1,,,,0,1,paid
228,47,4,Week Four,Week Four,2,,,,0,1,paid
229,47,5,Certification,Certification,1,,,,0,1,paid
230,50,1,Week One,Week One,11,Week_1.pdf,,,0,1,paid
231,50,2,Week Two,Week Two,8,Week_2.pdf,,,0,1,paid
232,50,3,Week Three,Week Three,4,Week_3.pdf,,,0,1,paid
233,50,4,Week Four,Week Four,6,Week_4.pdf,,,0,1,paid
234,50,5,Week Five,Week Five,6,Week_5.pdf,,,0,1,paid
235,50,6,Week Six,Week Six,10,Week_6.pdf,,,0,1,paid
236,50,7,Week Seven,Week Seven,8,Week_8.pdf,,,0,1,paid
237,50,8,Week Eight,Week Eight,6,Week_8.pdf,,,0,1,paid
238,50,9,Week Nine,Week Nine,4,Week_9.pdf,,,0,1,paid
239,50,10,Week Ten,Week Ten,2,Week_10.pdf,,,0,1,paid
241,6,7,Marketing Hub,Marketing Hub,1,,,,0,1,marketing
242,31,5,Marketing Hub,Marketing Hub,1,,,,0,1,marketing
243,32,5,Marketing Hub,Marketing Hub,1,,,,0,1,marketing
244,55,8,Marketing Hub,Marketing Hub  ,1,,,,0,1,marketing
245,54,1,Week One,Week One,11,Week_1.pdf,,,0,1,paid
246,54,2,Week Two,Week Two,8,Week_2.pdf,,,0,1,paid
247,54,3,Week Three,Week Three,4,Week_3.pdf,,,0,1,paid
248,54,4,Week Four,Week Four,6,Week_4.pdf,,,0,1,paid
249,54,5,Week Five,Week Five,6,Week_5.pdf,,,0,1,paid
250,54,6,Week Six,Week Six,10,Week_6.pdf,,,0,1,paid
251,54,7,Week Seven,Week Seven,8,Week_7.pdf,,,0,1,paid
252,54,8,Week Eight,Week Eight,6,Week_8.pdf,,,0,1,paid
253,54,9,Week Nine,Week Nine,4,Week_9.pdf,,,0,1,paid
254,54,10,Week Ten,Week Ten,2,Week_10.pdf,,,0,1,paid
