id	program_id	week_id	week	stp_title	stp_stepno	stp_videoid	stp_video_length	stp_select_activity	status
948	45	3	3	Meri pichhli zindagi mein kiye hue faisle (DEBRIEF)	3	742274199	02:16	0	1
949	45	3	3	DECISION MAKING WHEEL (ACTIVITY)	4	742274094	07:17	11	1
950	45	3	3	DECISION MAKING WHEEL (DEBRIEF)	5			0	1
951	45	3	3	Ek asali faisla kare (ACTIVITY)	6	742273996	06:02	0	1
952	45	3	3	Ek asali faisla kare (DEBRIEF)	7			0	1
953	45	3	3	Journal activity	8			0	1
954	45	4	4	Aathave hafte mein aapka swagat!	1			0	1
955	45	4	4	BUZZ MOMENTS (ACTIVITY)	2	742273868	06:19	0	1
956	45	4	4	BUZZ MOMENTS (DEBRIEF)	3	742273782	05:20	0	1
957	45	4	4	MY MASTERMIND (ACTIVITY)	4	742273568	09:14	0	1
958	45	4	4	MY MASTERMIND (DEBRIEF)	5	742273688	02:08	0	1
959	45	4	4	Journal activity	6			0	1
960	45	5	5	Nauve hafte mein aap sabhi ka swagat hai !	1			0	1
961	45	5	5	CRAZY FEARLESS DREAMS & VISION BOARD (ACTIVITY)	2	742273361	12:21	0	1
962	45	5	5	CRAZY FEARLESS DREAMS & VISION BOARD (DEBRIEF)	3	742273505	02:05	0	1
963	45	5	5	JOURNAL ACTIVITY	4			0	1
964	45	6	6	Incredible you ke aakhri hafte mein aap sabhi ka swagat hai !	1			0	1
965	45	6	6	SUCCESS BLUEPRINT (ACTIVITY)	2	742273250	06:57	0	1
966	45	6	6	SUCCESS BLUEPRINT (DEBRIEF)	3			0	1
967	45	6	6	CERTIFICATION	4			18	1
975	46	0	0	Aap kaun hai? - personality assessment	1			2	1
976	46	1	1	Naye safar ki shuruaat 	1	743354446	06:30	0	1
977	46	1	1	Zindagi ka maksad	2	743354276	29:39	17	1
978	46	2	2	Aapke aur aapke maksad ke bich ki rukawat 	1	743354385	21:43	17	1
979	46	2	2	Aapki mushkil ka aapki zindagi par asar	2	743354200	17:48	17	1
980	46	3	3	Khushiyo se bhari zindagi 	1	743354046	43:51	17	1
981	46	3	3	Ek kadam, incredible insaan banne ki taraf	2			0	1
982	46	4	4	Certification	1		NULL	18	1
